epoch,step,mean_scores,policykl,loss_total,loss_policy,loss_value,entropy
0,0,-0.5476201176643372,-0.0004888452240265906,6.371713243424892e-05,-0.003192915115505457,0.03256632015109062,0.07844454050064087
0,1,-0.33975544571876526,7.010195258772e-05,0.21545693278312683,-0.00022258504759520292,2.156795024871826,0.3669556975364685
0,2,-0.30000001192092896,-0.0005101760616526008,0.20886099338531494,-0.049814850091934204,2.5867583751678467,1.579032301902771
0,3,-0.3751247823238373,0.007365604396909475,0.14788484573364258,-0.007028642576187849,1.5491349697113037,1.5840286016464233
0,4,-0.4359811544418335,0.0445275604724884,0.3074943423271179,0.07554682344198227,2.3194751739501953,1.9529948234558105
0,5,-0.45294830203056335,0.0016048857942223549,0.09509827941656113,-0.0012536188587546349,0.9635189771652222,0.9450826644897461
0,6,-0.46284565329551697,-0.03340766578912735,0.08731281012296677,-0.04296111315488815,1.302739143371582,2.257850170135498
0,7,-0.5052427053451538,0.00039794895565137267,0.010545267723500729,-4.615428042598069e-05,0.10591422021389008,0.18973855674266815
0,8,-0.45621514320373535,-0.0009831151692196727,0.1417994201183319,0.0008182642050087452,1.4098113775253296,0.2926873564720154
0,9,-0.49535971879959106,0.011575926095247269,0.0463034063577652,-0.04480445384979248,0.9110785722732544,2.440854787826538
0,10,-0.3954548239707947,-0.0010525414254516363,0.11247392743825912,-0.0021833153441548347,1.146572470664978,1.5104444026947021
0,11,-0.4473230540752411,0.01597980223596096,0.1556520313024521,-0.03381430730223656,1.8946633338928223,1.6804094314575195
0,12,-0.2658672034740448,0.004412591457366943,0.127217099070549,-0.002383030252531171,1.2960013151168823,1.0886647701263428
0,13,-0.43592143058776855,-0.005326715763658285,0.02415291592478752,-0.0009190919809043407,0.2507200837135315,0.9629988670349121
0,14,-0.577427089214325,6.016125553287566e-05,0.001234434312209487,-0.0029233708046376705,0.04157804697751999,0.061285242438316345
0,15,-0.45602861046791077,0.007960612885653973,0.32094883918762207,-0.02033921889960766,3.4128806591033936,2.066235303878784
